"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant"
"38",0,0,0,0,0,60,0,40,"Unconsolidated"
"39",0,0,0,0,0,64,0,36,"Unconsolidated"
"40",0,0,0,0,0,72,0,28,"Unconsolidated"
"41",0,0,0,0,0,88,0,12,"Unconsolidated"
"42",0,0,0,0,0,88,0,12,"Unconsolidated"
"43",0,0,0,0,0,96,0,4,"Unconsolidated"
"44",4,0,0,0,0,84,4,8,"Unconsolidated"
"45",16,0,0,0,0,56,0,28,"Unconsolidated"
"46",40,0,0,0,0,56,0,4,"Unconsolidated"
"47",28,0,0,0,0,44,4,24,"Unconsolidated"
"48",8,0,0,0,0,72,4,16,"Unconsolidated"
"49",64,0,0,0,0,32,0,4,"total.seagrass"
"50",16,0,0,0,0,48,12,24,"Unconsolidated"
"51",36,0,0,0,0,60,0,4,"Unconsolidated"
"52",36,0,0,0,0,52,0,12,"Unconsolidated"
"53",32,0,0,0,0,56,4,8,"Unconsolidated"
"54",64,0,0,0,0,24,0,12,"total.seagrass"
"55",36,0,0,0,0,36,0,28,"total.seagrass"
"56",36,0,0,0,0,36,0,28,"total.seagrass"
"57",44,0,0,0,0,36,0,20,"total.seagrass"
"58",0,0,0,0,0,60,0,40,"Unconsolidated"
"59",8,0,0,0,0,80,0,12,"Unconsolidated"
"60",16,0,0,0,0,64,0,20,"Unconsolidated"
"61",8,0,0,0,0,64,0,28,"Unconsolidated"
"62",20,0,0,0,0,56,0,24,"Unconsolidated"
"63",12,0,0,0,0,80,0,8,"Unconsolidated"
"64",16,0,0,0,0,64,0,20,"Unconsolidated"
"65",12,0,0,0,0,60,0,28,"Unconsolidated"
"66",0,0,0,0,0,68,0,32,"Unconsolidated"
"67",0,0,0,0,0,48,4,48,"Unconsolidated"
"68",24,0,0,0,0,60,0,16,"Unconsolidated"
"69",40,0,0,0,0,44,0,16,"Unconsolidated"
"70",80,0,0,0,0,20,0,0,"total.seagrass"
"71",36,0,0,0,0,20,0,44,"Macroalgae"
"72",40,0,0,0,0,8,8,44,"Macroalgae"
"73",40,0,0,0,0,32,0,28,"total.seagrass"
"74",32,0,0,0,0,44,0,24,"Unconsolidated"
"75",68,0,0,0,0,8,0,24,"total.seagrass"
"76",64,0,0,0,0,0,0,36,"total.seagrass"
"77",12,0,0,0,0,24,0,64,"Macroalgae"
"78",16,0,0,0,0,44,0,36,"Unconsolidated"
"79",0,0,0,0,0,64,0,36,"Unconsolidated"
"80",0,0,0,0,0,72,0,28,"Unconsolidated"
"81",12,0,0,0,0,60,0,28,"Unconsolidated"
"82",0,0,0,0,0,56,0,44,"Unconsolidated"
"83",0,0,0,0,0,24,0,76,"Macroalgae"
"84",0,0,0,0,0,72,0,28,"Unconsolidated"
"85",4,0,0,0,0,76,0,20,"Unconsolidated"
"86",0,0,0,0,0,84,0,16,"Unconsolidated"
"87",0,0,0,0,0,56,0,40,"Unconsolidated"
"88",12,0,0,0,0,68,0,20,"Unconsolidated"
"89",16,0,0,0,0,36,0,48,"Macroalgae"
"90",24,0,0,0,0,16,0,60,"Macroalgae"
"91",76,0,0,0,0,20,0,4,"total.seagrass"
"92",0,0,0,0,0,16,0,84,"Macroalgae"
"93",0,0,0,0,0,52,0,48,"Unconsolidated"
"94",0,0,4,0,0,64,0,32,"Unconsolidated"
"95",16,0,0,0,0,48,0,36,"Unconsolidated"
"96",16,0,0,0,0,28,0,56,"Macroalgae"
"97",20,0,0,0,0,24,0,56,"Macroalgae"
"98",44,0,0,0,0,48,0,8,"Unconsolidated"
"99",0,0,0,0,0,36,0,64,"Macroalgae"
"100",0,0,0,0,0,40,0,60,"Macroalgae"
"101",12,0,0,0,0,48,0,40,"Unconsolidated"
"102",24,0,0,0,0,52,0,24,"Unconsolidated"
"103",24,0,0,0,0,48,0,28,"Unconsolidated"
"104",0,0,0,0,0,68,0,32,"Unconsolidated"
"105",0,0,0,0,0,76,0,24,"Unconsolidated"
"106",0,0,0,0,0,56,0,44,"Unconsolidated"
"107",16,0,0,0,0,48,0,28,"Unconsolidated"
"108",20,0,0,0,0,64,0,16,"Unconsolidated"
"109",12,0,0,0,0,28,0,60,"Macroalgae"
"110",64,0,0,0,0,36,0,0,"total.seagrass"
"111",32,0,0,0,0,16,0,52,"Macroalgae"
"112",44,0,0,0,0,24,0,32,"total.seagrass"
"113",12,0,0,0,0,40,0,48,"Macroalgae"
"114",52,0,0,0,0,32,0,16,"total.seagrass"
"115",4,0,0,0,0,68,0,28,"Unconsolidated"
"116",44,0,0,0,0,8,0,48,"Macroalgae"
"117",40,0,0,0,0,4,0,56,"Macroalgae"
"118",76,0,0,0,0,16,0,8,"total.seagrass"
"119",20,0,0,0,0,20,0,60,"Macroalgae"
"120",48,0,0,0,0,24,0,28,"total.seagrass"
"121",52,0,0,0,0,12,0,36,"total.seagrass"
"122",20,0,0,0,0,8,0,72,"Macroalgae"
"123",28,0,0,0,0,60,0,12,"Unconsolidated"
"124",28,0,0,0,0,60,0,12,"Unconsolidated"
"125",0,0,0,0,0,4,0,96,"Macroalgae"
"126",92,4,0,0,0,4,0,0,"total.seagrass"
"127",40,0,0,0,0,20,0,40,"total.seagrass"
"128",56,0,0,0,0,28,0,16,"total.seagrass"
"129",36,0,0,0,0,52,0,12,"Unconsolidated"
"130",8,0,0,0,0,76,0,16,"Unconsolidated"
"131",0,0,0,0,0,100,0,0,"Unconsolidated"
"132",0,0,0,0,0,96,0,4,"Unconsolidated"
"133",4,0,0,0,0,76,0,20,"Unconsolidated"
"134",24,0,0,0,0,68,0,8,"Unconsolidated"
"135",56,4,0,0,0,24,0,16,"total.seagrass"
"136",100,0,0,0,0,0,0,0,"total.seagrass"
"137",0,0,0,0,0,8,0,92,"Macroalgae"
"138",64,0,0,0,0,16,0,20,"total.seagrass"
"139",24,0,0,0,0,56,0,20,"Unconsolidated"
"140",100,0,0,0,0,0,0,0,"total.seagrass"
"141",100,0,0,0,0,0,0,0,"total.seagrass"
"142",48,0,0,0,0,16,0,36,"total.seagrass"
"143",100,0,0,0,0,0,0,0,"total.seagrass"
"144",100,0,0,0,0,0,0,0,"total.seagrass"
"145",92,0,0,0,0,8,0,0,"total.seagrass"
"146",84,0,0,0,0,12,0,4,"total.seagrass"
"147",64,32,0,0,0,4,0,0,"total.seagrass"
"148",48,0,0,0,0,0,0,52,"Macroalgae"
"149",92,0,0,0,0,8,0,0,"total.seagrass"
"150",76,8,0,0,0,16,0,0,"total.seagrass"
"151",28,12,0,0,0,40,4,16,"Unconsolidated"
"152",52,4,0,0,0,28,0,16,"total.seagrass"
"153",84,0,0,0,0,16,0,0,"total.seagrass"
"154",56,0,0,0,0,40,0,4,"total.seagrass"
"155",28,0,0,0,0,72,0,0,"Unconsolidated"
"156",20,0,0,0,0,80,0,0,"Unconsolidated"
"157",36,0,0,0,0,64,0,0,"Unconsolidated"
"158",12,12,0,0,0,76,0,0,"Unconsolidated"
"159",16,0,0,0,0,80,0,4,"Unconsolidated"
"160",36,0,0,0,0,64,0,0,"Unconsolidated"
"161",40,0,0,0,0,60,0,0,"Unconsolidated"
"162",20,0,0,0,0,52,0,28,"Unconsolidated"
"163",0,0,0,0,0,76,0,24,"Unconsolidated"
"164",24,0,0,0,0,52,0,24,"Unconsolidated"
"165",44,0,0,0,0,36,0,16,"total.seagrass"
"166",28,12,0,0,0,52,0,8,"Unconsolidated"
"167",12,8,0,0,0,48,4,28,"Unconsolidated"
"168",0,8,0,0,0,60,0,28,"Unconsolidated"
"169",20,8,0,0,0,44,0,28,"Unconsolidated"
"170",16,0,0,0,0,76,0,8,"Unconsolidated"
"171",12,0,0,0,0,84,0,4,"Unconsolidated"
"172",8,0,0,0,0,80,0,12,"Unconsolidated"
"173",0,8,0,0,0,88,0,4,"Unconsolidated"
"174",8,0,0,0,0,76,12,4,"Unconsolidated"
"175",8,0,0,0,0,88,0,4,"Unconsolidated"
"176",0,0,0,0,0,68,0,32,"Unconsolidated"
"177",24,8,0,0,0,68,0,0,"Unconsolidated"
"178",48,0,0,0,0,16,0,36,"total.seagrass"
"179",92,0,0,0,0,8,0,0,"total.seagrass"
"180",40,4,0,0,0,20,0,36,"total.seagrass"
"181",0,0,0,0,0,60,8,32,"Unconsolidated"
"182",80,0,0,0,0,16,4,0,"total.seagrass"
"183",56,12,0,0,0,20,4,8,"total.seagrass"
"184",56,0,0,0,0,16,4,24,"total.seagrass"
"185",60,0,0,0,0,12,8,20,"total.seagrass"
"186",56,0,0,0,0,36,0,4,"total.seagrass"
"187",80,4,0,0,0,16,0,0,"total.seagrass"
"188",88,0,0,0,0,12,0,0,"total.seagrass"
"189",96,0,0,0,0,4,0,0,"total.seagrass"
"190",76,0,0,0,0,24,0,0,"total.seagrass"
"191",84,0,0,0,0,16,0,0,"total.seagrass"
"192",32,0,0,0,0,52,0,16,"Unconsolidated"
"193",8,0,0,0,0,92,0,0,"Unconsolidated"
"194",16,0,0,0,0,84,0,0,"Unconsolidated"
"195",64,0,0,0,0,36,0,0,"total.seagrass"
"196",4,0,0,0,0,92,0,4,"Unconsolidated"
"197",0,0,0,0,0,84,0,0,"Unconsolidated"
"198",12,0,0,0,0,84,0,4,"Unconsolidated"
"199",0,4,0,0,0,76,0,16,"Unconsolidated"
"200",8,0,0,0,0,92,0,0,"Unconsolidated"
"201",12,0,0,0,0,76,0,4,"Unconsolidated"
"202",4,0,0,0,0,84,0,12,"Unconsolidated"
"203",4,0,0,0,0,72,0,0,"Unconsolidated"
"204",44,0,0,0,0,56,0,0,"Unconsolidated"
"205",56,0,0,0,0,44,0,0,"total.seagrass"
"206",8,0,0,0,0,92,0,0,"Unconsolidated"
"207",0,0,0,0,0,100,0,0,"Unconsolidated"
"208",24,0,0,0,0,72,0,4,"Unconsolidated"
"209",36,0,0,0,0,64,0,0,"Unconsolidated"
"210",20,0,0,0,0,80,0,0,"Unconsolidated"
"211",28,0,0,0,0,72,0,0,"Unconsolidated"
"212",24,0,0,0,0,76,0,0,"Unconsolidated"
"213",0,0,0,0,0,100,0,0,"Unconsolidated"
"214",8,0,0,0,0,92,0,0,"Unconsolidated"
"215",12,0,0,0,0,88,0,0,"Unconsolidated"
"216",8,0,0,0,0,88,0,4,"Unconsolidated"
"217",0,0,0,0,0,100,0,0,"Unconsolidated"
"218",0,0,0,0,0,96,0,4,"Unconsolidated"
"219",0,0,0,0,0,100,0,0,"Unconsolidated"
"220",0,0,0,0,0,96,0,4,"Unconsolidated"
"221",0,0,0,0,0,100,0,0,"Unconsolidated"
"222",0,0,0,0,0,100,0,0,"Unconsolidated"
"223",36,0,0,0,0,64,0,0,"Unconsolidated"
"224",16,0,0,0,0,76,0,4,"Unconsolidated"
"225",36,0,0,0,0,60,0,4,"Unconsolidated"
"226",16,4,0,0,0,76,0,4,"Unconsolidated"
"227",4,0,0,0,0,96,0,0,"Unconsolidated"
"228",12,0,0,0,0,88,0,0,"Unconsolidated"
"229",68,0,0,0,0,32,0,0,"total.seagrass"
"230",0,0,0,0,0,100,0,0,"Unconsolidated"
"231",0,0,0,0,0,96,0,4,"Unconsolidated"
"232",0,0,0,0,0,100,0,0,"Unconsolidated"
"233",0,0,0,0,0,96,0,4,"Unconsolidated"
"234",20,0,0,0,0,76,0,4,"Unconsolidated"
"235",4,0,0,0,0,96,0,0,"Unconsolidated"
"236",4,0,0,0,0,96,0,0,"Unconsolidated"
"237",16,0,0,0,0,80,0,4,"Unconsolidated"
"238",0,0,0,0,0,96,0,4,"Unconsolidated"
"239",0,0,0,0,0,100,0,0,"Unconsolidated"
"240",0,0,0,0,0,96,0,4,"Unconsolidated"
"241",0,0,0,0,0,100,0,0,"Unconsolidated"
"242",0,0,0,0,0,100,0,0,"Unconsolidated"
"243",0,0,0,0,0,100,0,0,"Unconsolidated"
"244",0,0,0,0,0,100,0,0,"Unconsolidated"
"245",0,0,0,0,0,100,0,0,"Unconsolidated"
"246",0,0,0,0,0,100,0,0,"Unconsolidated"
"247",0,0,0,0,0,100,0,0,"Unconsolidated"
"248",0,0,0,0,0,84,0,16,"Unconsolidated"
"249",0,0,0,0,0,96,0,4,"Unconsolidated"
"250",0,0,0,0,0,96,0,4,"Unconsolidated"
"251",0,0,0,0,0,100,0,0,"Unconsolidated"
"252",0,0,0,0,0,84,0,12,"Unconsolidated"
"253",0,0,0,0,0,92,0,8,"Unconsolidated"
"254",0,0,0,0,0,96,0,4,"Unconsolidated"
"255",0,0,0,0,0,100,0,0,"Unconsolidated"
"256",0,0,0,0,0,100,0,0,"Unconsolidated"
"257",0,0,0,0,0,100,0,0,"Unconsolidated"
"258",4,0,0,0,0,92,0,4,"Unconsolidated"
"259",0,0,0,0,0,88,0,12,"Unconsolidated"
"260",0,0,0,0,0,100,0,0,"Unconsolidated"
"261",0,0,0,0,0,100,0,0,"Unconsolidated"
"262",0,0,0,0,0,100,0,0,"Unconsolidated"
"263",0,0,0,0,0,92,0,8,"Unconsolidated"
"264",0,0,0,0,0,92,0,8,"Unconsolidated"
"265",0,0,0,0,0,100,0,0,"Unconsolidated"
"266",0,0,0,0,0,64,0,36,"Unconsolidated"
"267",0,0,0,0,0,100,0,0,"Unconsolidated"
"268",0,0,0,0,0,100,0,0,"Unconsolidated"
"269",0,0,0,0,0,100,0,0,"Unconsolidated"
"270",0,0,0,0,0,100,0,0,"Unconsolidated"
"271",0,0,0,0,0,96,0,4,"Unconsolidated"
"272",0,0,0,0,0,100,0,0,"Unconsolidated"
"273",0,0,0,0,0,96,0,4,"Unconsolidated"
"274",0,0,0,0,0,100,0,0,"Unconsolidated"
"275",0,0,0,0,0,92,0,8,"Unconsolidated"
"276",0,0,0,0,0,100,0,0,"Unconsolidated"
"277",0,0,0,0,0,100,0,0,"Unconsolidated"
"278",0,0,0,0,0,100,0,0,"Unconsolidated"
"279",0,0,0,0,0,100,0,0,"Unconsolidated"
"280",16,0,0,0,0,84,0,0,"Unconsolidated"
"281",8,0,0,0,0,72,0,20,"Unconsolidated"
"282",28,0,0,0,0,72,0,0,"Unconsolidated"
"283",0,0,0,0,0,100,0,0,"Unconsolidated"
"284",0,0,0,0,0,92,0,0,"Unconsolidated"
"285",0,0,0,0,0,100,0,0,"Unconsolidated"
"286",0,0,0,0,0,76,0,24,"Unconsolidated"
"287",0,0,0,0,0,96,0,4,"Unconsolidated"
"288",32,0,0,0,0,68,0,0,"Unconsolidated"
"289",12,0,0,0,0,72,0,16,"Unconsolidated"
"290",68,0,0,0,0,20,0,12,"total.seagrass"
"291",24,0,0,0,0,60,0,16,"Unconsolidated"
"292",16,0,0,0,0,84,0,0,"Unconsolidated"
"293",68,0,0,0,0,32,0,0,"total.seagrass"
"294",0,0,0,0,0,40,0,60,"Macroalgae"
"295",0,0,0,0,0,84,0,16,"Unconsolidated"
"296",0,0,0,0,0,88,0,12,"Unconsolidated"
"297",0,0,0,0,0,96,0,4,"Unconsolidated"
"298",0,0,0,0,0,96,0,4,"Unconsolidated"
"299",0,0,0,0,0,76,0,24,"Unconsolidated"
"300",0,0,0,0,0,100,0,0,"Unconsolidated"
"301",0,0,0,0,0,84,4,12,"Unconsolidated"
"302",0,0,0,0,0,84,0,16,"Unconsolidated"
"303",4,0,0,0,0,84,0,12,"Unconsolidated"
"304",0,20,0,0,0,80,0,0,"Unconsolidated"
"305",0,8,0,0,0,56,16,20,"Unconsolidated"
"306",0,12,0,0,0,84,0,4,"Unconsolidated"
"307",56,4,0,0,0,40,0,0,"total.seagrass"
"308",100,0,0,0,0,0,0,0,"total.seagrass"
"309",68,0,0,0,0,32,0,0,"total.seagrass"
"310",0,0,0,0,0,100,0,0,"Unconsolidated"
"311",0,0,0,0,0,100,0,0,"Unconsolidated"
"312",8,0,0,0,0,92,0,0,"Unconsolidated"
"313",0,0,0,0,0,100,0,0,"Unconsolidated"
"314",0,0,0,0,0,100,0,0,"Unconsolidated"
"315",0,0,0,0,0,100,0,0,"Unconsolidated"
"316",0,0,0,0,0,100,0,0,"Unconsolidated"
"317",0,0,0,0,0,100,0,0,"Unconsolidated"
"318",0,0,0,0,0,100,0,0,"Unconsolidated"
"319",0,0,0,0,0,100,0,0,"Unconsolidated"
"320",0,0,0,0,0,100,0,0,"Unconsolidated"
"321",0,0,0,0,0,100,0,0,"Unconsolidated"
"322",0,0,0,0,0,100,0,0,"Unconsolidated"
"323",0,0,0,0,0,100,0,0,"Unconsolidated"
"324",36,0,0,0,0,64,0,0,"Unconsolidated"
"325",72,0,0,0,0,28,0,0,"total.seagrass"
"326",72,0,0,0,0,28,0,0,"total.seagrass"
"327",76,0,0,0,0,24,0,0,"total.seagrass"
"328",56,4,0,0,0,40,0,0,"total.seagrass"
"329",84,0,0,0,0,16,0,0,"total.seagrass"
"330",96,0,0,0,0,4,0,0,"total.seagrass"
"331",68,0,0,0,0,32,0,0,"total.seagrass"
"332",80,0,0,0,0,20,0,0,"total.seagrass"
"333",56,0,0,0,0,44,0,0,"total.seagrass"
"334",56,0,0,0,0,44,0,0,"total.seagrass"
"335",44,20,0,0,0,36,0,0,"total.seagrass"
"336",52,0,0,0,0,48,0,0,"total.seagrass"
"337",76,0,0,0,0,24,0,0,"total.seagrass"
"338",84,0,0,0,0,12,0,4,"total.seagrass"
"339",56,0,0,0,0,36,0,8,"total.seagrass"
"340",16,0,0,0,0,44,0,40,"Unconsolidated"
"341",36,4,0,0,0,60,0,0,"Unconsolidated"
"342",56,0,0,0,0,20,4,20,"total.seagrass"
"343",20,0,0,0,0,48,0,32,"Unconsolidated"
"344",0,0,0,0,0,100,0,0,"Unconsolidated"
"345",4,0,0,0,0,96,0,0,"Unconsolidated"
"346",84,0,0,0,0,16,0,0,"total.seagrass"
"347",100,0,0,0,0,0,0,0,"total.seagrass"
"348",56,0,0,0,0,44,0,0,"total.seagrass"
"349",20,0,0,0,0,80,0,0,"Unconsolidated"
"350",4,0,0,0,0,96,0,0,"Unconsolidated"
"351",0,0,0,0,0,100,0,0,"Unconsolidated"
"352",0,0,0,0,0,100,0,0,"Unconsolidated"
"353",24,0,0,0,0,76,0,0,"Unconsolidated"
"354",0,0,0,0,0,92,0,8,"Unconsolidated"
"355",0,0,0,0,0,100,0,0,"Unconsolidated"
"356",0,0,0,0,0,96,0,4,"Unconsolidated"
"357",8,0,0,0,0,92,0,0,"Unconsolidated"
"358",0,0,0,0,0,100,0,0,"Unconsolidated"
"359",16,0,0,0,0,84,0,0,"Unconsolidated"
"360",0,0,0,0,0,100,0,0,"Unconsolidated"
"361",0,0,0,0,0,100,0,0,"Unconsolidated"
"362",0,0,0,0,0,100,0,0,"Unconsolidated"
"363",0,0,0,0,0,100,0,0,"Unconsolidated"
"364",0,0,0,0,0,100,0,0,"Unconsolidated"
"365",0,0,0,0,0,100,0,0,"Unconsolidated"
"366",0,0,0,0,0,100,0,0,"Unconsolidated"
"367",0,0,0,0,0,100,0,0,"Unconsolidated"
"368",0,0,0,0,0,100,0,0,"Unconsolidated"
"369",0,0,0,0,0,100,0,0,"Unconsolidated"
"370",12,0,0,0,0,88,0,0,"Unconsolidated"
"371",0,0,0,0,0,100,0,0,"Unconsolidated"
"372",0,0,0,0,0,100,0,0,"Unconsolidated"
"373",0,0,0,0,0,96,0,4,"Unconsolidated"
"374",0,0,0,0,0,100,0,0,"Unconsolidated"
"375",0,0,0,0,0,100,0,0,"Unconsolidated"
"376",0,0,0,0,0,92,0,8,"Unconsolidated"
"377",0,8,0,0,0,84,0,4,"Unconsolidated"
"378",0,0,0,0,0,100,0,0,"Unconsolidated"
"379",0,0,0,0,0,80,0,20,"Unconsolidated"
"380",4,0,0,0,0,96,0,0,"Unconsolidated"
"381",0,0,0,0,0,100,0,0,"Unconsolidated"
"382",0,0,0,0,0,100,0,0,"Unconsolidated"
"383",0,0,0,0,0,100,0,0,"Unconsolidated"
"384",0,0,0,0,0,100,0,0,"Unconsolidated"
"385",0,0,0,0,0,100,0,0,"Unconsolidated"
"386",0,0,0,0,0,100,0,0,"Unconsolidated"
"387",0,0,0,0,0,100,0,0,"Unconsolidated"
"388",0,0,0,0,0,92,0,8,"Unconsolidated"
"389",0,0,0,0,0,92,0,8,"Unconsolidated"
"390",0,0,0,0,0,92,8,0,"Unconsolidated"
"391",24,0,0,0,0,76,0,0,"Unconsolidated"
"392",36,0,0,0,0,64,0,0,"Unconsolidated"
"393",12,0,0,0,0,76,0,12,"Unconsolidated"
"394",36,0,0,0,0,64,0,0,"Unconsolidated"
"395",48,0,0,0,0,52,0,0,"Unconsolidated"
"396",88,0,0,0,0,12,0,0,"total.seagrass"
"397",80,0,0,0,0,20,0,0,"total.seagrass"
"398",64,0,0,0,0,36,0,0,"total.seagrass"
"399",40,0,0,0,0,48,0,12,"Unconsolidated"
"400",28,0,0,0,0,68,0,4,"Unconsolidated"
"401",28,0,0,0,0,72,0,0,"Unconsolidated"
"402",28,0,0,0,0,68,0,4,"Unconsolidated"
"403",60,0,0,0,0,28,0,12,"total.seagrass"
"404",28,0,0,0,0,64,0,4,"Unconsolidated"
"405",52,0,0,0,0,48,0,0,"total.seagrass"
"406",28,0,0,0,0,72,0,0,"Unconsolidated"
"407",56,0,0,0,0,40,0,4,"total.seagrass"
"408",36,0,0,8,0,56,0,0,"Unconsolidated"
"409",68,0,0,0,0,20,0,12,"total.seagrass"
"410",32,8,0,4,0,52,0,4,"Unconsolidated"
"411",44,4,4,0,0,36,0,12,"total.seagrass"
"412",0,0,0,0,0,92,0,8,"Unconsolidated"
"413",16,0,0,0,0,60,20,4,"Unconsolidated"
"414",8,0,0,0,0,88,0,4,"Unconsolidated"
"415",0,0,0,0,0,100,0,0,"Unconsolidated"
"416",0,0,0,0,0,88,0,0,"Unconsolidated"
"417",0,0,0,0,0,96,4,0,"Unconsolidated"
"418",4,12,0,0,0,64,4,16,"Unconsolidated"
"419",24,36,0,0,0,28,8,0,"Turf.algae"
"420",12,4,0,0,0,80,0,4,"Unconsolidated"
"421",28,4,0,0,0,48,0,20,"Unconsolidated"
"422",0,40,0,0,0,32,0,28,"Turf.algae"
"423",68,0,0,0,0,32,0,0,"total.seagrass"
"424",8,60,0,0,0,28,4,0,"Turf.algae"
"425",4,84,0,0,0,8,4,0,"Turf.algae"
"426",20,28,8,0,0,28,8,8,"Turf.algae"
"427",56,0,0,0,0,44,0,0,"total.seagrass"
"428",52,20,0,0,0,28,0,0,"total.seagrass"
"429",72,0,0,0,0,28,0,0,"total.seagrass"
"430",60,0,0,0,0,40,0,0,"total.seagrass"
"431",68,16,0,0,0,12,0,4,"total.seagrass"
"432",20,0,0,0,0,60,0,20,"Unconsolidated"
"433",80,0,0,0,0,20,0,0,"total.seagrass"
"434",12,0,0,0,0,68,0,20,"Unconsolidated"
"435",20,0,0,0,0,56,0,20,"Unconsolidated"
"436",80,0,0,0,0,20,0,0,"total.seagrass"
"437",56,8,0,0,0,36,0,0,"total.seagrass"
"438",36,0,0,0,0,28,4,32,"total.seagrass"
"439",68,0,0,0,0,32,0,0,"total.seagrass"
"440",60,0,0,0,0,40,0,0,"total.seagrass"
"441",48,0,0,0,0,44,0,8,"total.seagrass"
"442",28,0,0,0,0,56,4,8,"Unconsolidated"
"443",12,0,0,0,0,72,0,16,"Unconsolidated"
"444",32,0,0,0,0,68,0,0,"Unconsolidated"
"445",16,0,0,0,0,84,0,0,"Unconsolidated"
"446",0,12,0,0,0,56,16,16,"Unconsolidated"
"447",60,0,0,0,0,40,0,0,"total.seagrass"
"448",4,0,0,0,0,92,0,4,"Unconsolidated"
"449",28,0,0,0,0,64,0,8,"Unconsolidated"
"450",12,8,0,0,0,76,0,4,"Unconsolidated"
"451",36,4,0,0,0,40,16,4,"Unconsolidated"
"452",36,0,0,0,0,60,0,4,"Unconsolidated"
"453",12,8,0,0,0,72,0,0,"Unconsolidated"
"454",36,12,0,0,0,44,0,8,"Unconsolidated"
"455",24,16,0,0,0,28,0,12,"Unconsolidated"
"456",44,0,0,0,0,56,0,0,"Unconsolidated"
"457",12,0,0,0,0,76,4,8,"Unconsolidated"
"458",16,0,0,0,0,60,0,24,"Unconsolidated"
"459",32,0,0,0,0,64,0,0,"Unconsolidated"
"460",12,4,0,0,0,48,0,20,"Unconsolidated"
"461",56,0,0,0,0,40,0,4,"total.seagrass"
"462",8,4,0,0,0,72,12,4,"Unconsolidated"
"463",0,0,0,0,0,92,0,8,"Unconsolidated"
"464",28,0,0,0,0,68,0,0,"Unconsolidated"
"465",20,0,0,0,0,80,0,0,"Unconsolidated"
"466",20,0,0,0,0,76,0,4,"Unconsolidated"
"467",24,4,0,0,0,72,0,0,"Unconsolidated"
"468",28,0,0,0,0,72,0,0,"Unconsolidated"
"469",60,0,0,0,0,36,0,4,"total.seagrass"
"470",32,0,0,0,0,64,0,4,"Unconsolidated"
"471",24,0,0,0,0,64,0,8,"Unconsolidated"
"472",16,16,0,0,0,68,0,0,"Unconsolidated"
"473",24,4,0,0,0,64,0,8,"Unconsolidated"
"474",16,0,0,0,0,56,0,24,"Unconsolidated"
"475",12,0,0,0,0,72,4,12,"Unconsolidated"
"476",28,4,0,0,0,48,4,16,"Unconsolidated"
"477",36,0,0,0,0,48,8,8,"Unconsolidated"
"478",52,4,0,0,0,44,0,0,"total.seagrass"
"479",40,4,0,0,0,36,0,20,"total.seagrass"
"480",44,0,0,0,0,28,16,12,"total.seagrass"
"481",24,20,0,0,0,36,0,20,"Unconsolidated"
"482",16,36,0,0,0,36,8,4,"Turf.algae"
"483",52,24,0,0,0,8,16,0,"total.seagrass"
